year|month|trip_count|fare_per_minute|trip_total_per_minute|fare_per_mile|miles_per_hour|minutes|miles
2019,2,0,5273,0.7570258408204295,1.0656643240288226,2.3934021012603925,22.27283482334393,14.170137176812693,6.076508154329014
2019,2,1,2962,0.801504923173033,1.1274401485923222,2.426012563841809,23.478865279962942,13.6434222372271,5.696583181824537
2019,2,2,2006,0.7924393588531823,1.1135446374903184,8.460360909376208,22.10312664021429,13.030076437354603,5.484073539670183
2019,2,3,1631,0.7856344293876627,1.0971141613380175,2.78665309896471,25.241644328575415,16.455957490292253,7.865371379101864
2019,2,4,2517,0.7999911300265389,1.1362083438326773,2.060969892831052,27.662705620569678,18.643451198516754,9.794259672827184
2019,2,5,4903,0.7845423477931571,1.0789488042644721,2.044364113905468,26.650849667836894,19.566092188456047,9.33565959101086
2019,2,6,9270,0.6650661645305588,0.9162861848656788,3.239631437689517,19.344064814988958,21.509487594390507,7.602235579210877
2019,2,7,16283,0.6225513520571051,0.8563347336541203,3.8707151393499815,14.051303608141717,22.163834469487604,5.625279520403003
2019,2,8,20138,0.5722816077768654,0.7818226943503481,3.4948226040576613,12.231676108406562,22.231151719800046,4.960226138770158
2019,2,9,17026,0.6149021665800826,0.8439329417597353,3.2384952331317614,14.626439982272146,19.5674536982654,5.4163070351451275
2019,2,10,12347,0.63884619203959,0.9094917399835228,2.916643426588972,17.347405946339617,18.153255851623875,6.17990441717522
2019,2,11,11957,0.6469068173504684,0.9351068039744547,2.768935578830355,17.701160449421725,18.238874020796743,6.359044026469143
2019,2,12,13112,0.6574276312542847,0.9515418898982924,2.8202180660225222,17.371327642204363,18.420509202765913,6.2900426437590715
2019,2,13,13088,0.6568126576351784,0.9513742943176617,3.3617790591818273,17.30647920003804,18.74423390383048,6.349296699224611
2019,2,14,13047,0.641577323227273,0.9130640003341288,3.2753430818718465,16.48448079922209,20.95601415395621,6.5664941991999575
2019,2,15,15271,0.5918310589175363,0.8468392307736592,3.1748165164357918,14.80580390706434,23.815389736537664,6.610302121181039
2019,2,16,17050,0.5898107429940276,0.8154780784226967,4.6825170996161125,13.64737045255915,24.22191788856305,5.980605041592597
2019,2,17,20094,0.5752128947451473,0.7743624799396341,3.5313797698793903,11.946463315570302,25.25800819481769,5.433193494187225
2019,2,18,23357,0.6017259688459339,0.8310964698176695,3.404009865027427,13.114536905698195,19.82836266072983,4.864962978025939
2019,2,19,22569,0.65579809742464,0.9296498964426657,3.242098895617051,16.02533375730393,16.651921514762137,5.218772913254806
2019,2,20,19798,0.6933644466880584,0.9938539045688165,2.756396758265964,18.096161313963556,15.517307303768057,5.604358161368313
2019,2,21,19087,0.7331490059389596,1.0412529890979882,2.8019214327084168,19.161953091117365,15.54825710343864,5.929381745381921
2019,2,22,17294,0.7944806704804193,1.1120777017851795,2.9370322669384064,20.389553730932747,15.595255579969932,6.16159310771593
2019,2,23,13045,0.7768994774003332,1.100924180351308,2.6590120492243603,21.232083784606683,14.346620672032707,5.946864856788915
